rank,topic,url,readability,sentence_level_sentiment,sentence_level_objectivity,bias,credibility,trust_metric,google_page_rank,alexa_reach_rank
1,TradeTariffs,https://www.reuters.com/article/us-usa-trade-china-tariffs-idUSKBN2000C0,40.0,9.96,70.21,50,100.0,87.0,9,544.0
2,TradeTariffs,https://www.bbc.co.uk/news/world-us-canada-51144239,80.0,13.98,64.4,100,95.0,96.0,9,102.0
3,TradeTariffs,https://www.npr.org/2020/01/18/797311177/does-the-china-trade-deal-move-the-world-away-from-free-trade,100.0,6.92,79.72,50,100.0,84.0,8,521.0
4,TradeTariffs,https://www.cnn.com/2020/02/02/politics/farmer-policy-trump-2020-campaign/index.html,80.0,13.12,71.82,50,100.0,87.0,9,nan
5,TradeTariffs,https://markets.businessinsider.com/news/stocks/us-collected-extra-50-billion-tariffs-during-china-trade-war-2020-2-1028890257,100.0,12.63,66.42,50,100.0,57.0,8,352.0
6,TradeTariffs,https://www.bbc.com/news/business-51055491,80.0,15.18,68.52,100,95.0,84.0,8,81.0
7,TradeTariffs,https://www.businessinsider.com/china-tariffs-could-stay-on-after-phase-2-deal-mnuchin-2020-1,40.0,14.8,75.49,100,100.0,57.0,8,352.0
8,TradeTariffs,https://news.yahoo.com/chinese-aluminum-extrusion-exporters-face-092048324.html,40.0,6.67,85.72,50,87.5,95.0,8,8.0
9,TradeTariffs,https://www.reuters.com/article/us-usa-trade-europe-analysis-idUSKBN2051AK,80.0,13.89,72.2,50,100.0,87.0,9,544.0
10,TradeTariffs,https://venturebeat.com/2020/01/24/u-s-china-trade-deal-clears-way-for-playstation-5-and-xbox-series-x/,80.0,14.29,62.02,100,nan,nan,nan,nan
11,TradeTariffs,https://www.businessinsider.com/tariffs-trump-increase-car-prices-thousands-dollars-economists-estimates-europe-2020-1,80.0,13.92,74.46,100,100.0,57.0,8,352.0
12,TradeTariffs,https://www.wsj.com/articles/with-tariff-threats-trump-again-wields-economic-clout-to-solve-disputes-11579646076,100.0,5.03,90.1,100,100.0,77.0,8,535.0
13,TradeTariffs,https://www.reuters.com/article/us-usa-economy-idUSKBN1ZZ1WP,40.0,12.5,63.2,50,100.0,87.0,9,544.0
14,TradeTariffs,https://news.yahoo.com/former-white-house-chief-economic-173141012.html,80.0,5.76,73.78,50,87.5,95.0,8,8.0
15,TradeTariffs,https://www.reuters.com/article/us-usa-trade-eu-idUSKBN2070NJ,40.0,19.34,59.61,50,100.0,87.0,9,544.0
16,TradeTariffs,https://time.com/5778941/china-cut-tariffs-auto-parts-trade-war/,80.0,12.78,71.38,50,95.0,64.0,8,1028.0
