rank,topic,url,ease_of_reading,sentence_level_sentiment,positive_sentiment,negative_sentiment,sentence_level_objectivity,bias,bias_label,credibility,trust_metric,google_page_rank,alexa_reach_rank,domain,content_length
1,TradeTariffs,https://www.theverge.com/2020/3/31/21200068/tim-cook-white-house-tariff-trump-lighthizer-lobby-apple-china,40.0,16.41,14.745906432748537,1.6666666666666667,63.35,100,Left,100.0,75.0,8,443.0,theverge.com,3630
2,TradeTariffs,https://www.wired.com/story/us-china-feud-harder-fight-coronavirus/,80.0,14.31,10.302197802197803,4.00462962962963,68.36,100,Right,100.0,85.0,8,1138.0,wired.com,4254
3,TradeTariffs,https://thenextweb.com/hardfork/2020/04/01/coronavirus-laptop-vendors-in-the-us-met-demand-thanks-to-trumps-trade-war/,40.0,11.18,9.515151515151516,1.6666666666666667,59.36,50,Partially Left,nan,nan,nan,nan,thenextweb.com,1888
4,TradeTariffs,https://news.yahoo.com/us-trade-gap-falls-39-125447872.html,80.0,11.77,6.730769230769231,5.042735042735043,65.85,100,Right,87.5,95.0,8,8.0,news.yahoo.com,273
5,TradeTariffs,https://time.com/5798754/china-factories-closed-coronavirus/,100.0,1.67,0.0,1.6666666666666663,91.67,50,Partially Left,95.0,64.0,8,1028.0,time.com,3470
6,TradeTariffs,https://www.bbc.co.uk/news/business-52104978,40.0,11.76,9.002777315277315,2.7595182595182597,62.24,100,Left,95.0,96.0,9,102.0,bbc.co.uk,7502
7,TradeTariffs,https://9to5mac.com/2020/03/23/apple-watch-tariff-exemption/,80.0,19.71,19.583333333333332,0.1282051282051282,68.11,100,Right,nan,nan,nan,nan,9to5mac.com,1515
8,TradeTariffs,https://news.yahoo.com/virus-disrupts-talks-eu-u-102225026.html,40.0,11.32,8.31766917293233,3.004385964912281,76.77,50,Partially Right,87.5,95.0,8,8.0,news.yahoo.com,2443
9,TradeTariffs,https://news.yahoo.com/trump-sounds-could-move-coronavirus-122600791.html,80.0,11.76,4.96831797235023,6.787698412698412,70.59,100,Left,87.5,95.0,8,8.0,news.yahoo.com,5510
10,TradeTariffs,https://www.businessinsider.com/oil-production-us-slow-through-2021-ease-market-price-war-2020-4,40.0,17.04,4.699074074074074,12.337629769921438,62.65,50,Partially Right,100.0,57.0,8,352.0,businessinsider.com,3838
11,TradeTariffs,https://news.yahoo.com/u-n-chief-calls-g20-161802845.html,80.0,16.78,11.755208333333334,5.026785714285715,54.05,50,Partially Left,87.5,95.0,8,8.0,news.yahoo.com,3838
12,TradeTariffs,https://www.usatoday.com/story/news/investigations/2020/04/02/us-exports-masks-ppe-china-surged-early-phase-coronavirus/5109747002/,80.0,10.38,8.958301123479693,1.425028344671202,72.77,100,Right,100.0,84.0,8,363.0,usatoday.com,10337
13,TradeTariffs,https://9to5mac.com/2020/03/31/tim-cook-tariffs-apple/,80.0,17.43,14.31746031746032,3.1111111111111107,68.32,100,Right,nan,nan,nan,nan,9to5mac.com,1901
15,TradeTariffs,https://www.androidcentral.com/covid-19-could-ps5-face-delays-due-coronavirus-outbreak,40.0,14.39,10.502795815295816,3.8865697794269223,53.37,100,Left,100.0,65.0,8,9372.0,androidcentral.com,4111
16,TradeTariffs,https://www.macrumors.com/2020/03/23/apple-watch-excluded-us-tariffs-china/,80.0,6.2,3.1448412698412698,3.055555555555556,78.58,50,Partially Right,nan,nan,nan,nan,macrumors.com,1510
17,TradeTariffs,https://pocketnow.com/apple-watch-excluded-from-u-s-trade-tariffs-on-china,100.0,4.55,4.553571428571428,0.0,82.65,100,Right,nan,nan,nan,nan,pocketnow.com,273
18,TradeTariffs,https://www.npr.org/sections/coronavirus-live-updates/2020/03/26/822031081/kosovo-is-in-turmoil-after-coronavirus-controversy-helped-fell-its-government,100.0,6.92,0.4166666666666667,6.50297619047619,79.72,50,Partially Left,100.0,84.0,8,521.0,npr.org,3314
19,TradeTariffs,https://news.yahoo.com/trump-angers-beijing-chinese-virus-114058385.html,80.0,9.2,6.7837465564738295,2.412878787878788,76.24,100,Right,87.5,95.0,8,8.0,news.yahoo.com,2553
20,TradeTariffs,https://www.cnet.com/news/uk-presses-ahead-with-digital-tech-tax-in-spite-of-pressure-from-trump/,40.0,10.06,5.822067400192401,4.236111111111111,66.83,100,Left,100.0,86.0,8,155.0,cnet.com,4226
21,TradeTariffs,https://www.theglobeandmail.com/canada/article-trudeau-warns-us-over-restricting-the-trade-of-essential-goods-into/,80.0,7.75,4.76206314011192,2.9849012775842043,72.55,50,Partially Left,nan,nan,nan,nan,theglobeandmail.com,7127
22,TradeTariffs,https://www.aljazeera.com/news/2020/04/lawmakers-call-probe-disruptions-pandemic-supplies-200407062321354.html,80.0,11.3,11.296296296296296,0.0,65.19,100,Right,82.5,73.0,8,nan,aljazeera.com,1903
23,TradeTariffs,https://mspoweruser.com/old-boy-network-alive-and-well-as-tim-cook-personally-saves-apple-billions-in-tariffs/,40.0,6.3,4.874574829931973,1.4285714285714286,65.84,100,Right,nan,nan,nan,nan,mspoweruser.com,1433
24,TradeTariffs,https://news.yahoo.com/crisis-leadership-over-virus-grips-095248459.html,80.0,13.95,9.829736761554942,4.1186868686868685,65.78,50,Partially Left,87.5,95.0,8,8.0,news.yahoo.com,6018
25,TradeTariffs,https://www.fool.com/investing/2020/03/23/the-apple-watch-wont-get-hit-with-chinese-import-t.aspx,80.0,7.13,6.551136363636364,0.5833333333333333,83.52,50,Partially Right,nan,nan,nan,nan,fool.com,1300
26,TradeTariffs,https://www.marketwatch.com/story/is-anyone-in-charge-unlike-in-2008-theres-no-unified-response-to-stabilize-the-global-economy-2020-03-11,80.0,11.83,7.177083333333334,4.656047077922079,64.85,50,Partially Right,95.0,76.0,8,846.0,marketwatch.com,5405
27,TradeTariffs,https://www.usatoday.com/story/news/politics/elections/2020/03/10/joe-biden-bernie-sanders-spar-over-trade-entitlements-guns-and-iraq/4965512002/,80.0,13.91,9.483539209832312,4.429666119321291,68.88,100,Left,100.0,84.0,8,363.0,usatoday.com,21404
28,TradeTariffs,https://www.bbc.co.uk/news/world-asia-india-51928011,80.0,8.82,6.783746556473829,2.034090909090909,77.0,100,Left,95.0,96.0,9,102.0,bbc.co.uk,2655
30,TradeTariffs,https://www.entrepreneur.com/article/346743,80.0,23.07,20.992046475537038,2.0791001451378808,60.84,100,Right,nan,nan,nan,nan,entrepreneur.com,6357
31,TradeTariffs,https://www.marketwatch.com/story/here-are-the-industries-that-could-get-coronavirus-aid-from-the-us-government-2020-03-17,20.0,11.92,9.317193675889326,2.598343685300207,58.08,100,Right,95.0,76.0,8,846.0,marketwatch.com,4621
