rank,topic,url,ease_of_reading,sentence_level_sentiment,positive_sentiment,negative_sentiment,sentence_level_objectivity,bias,bias_label,credibility,trust_metric,google_page_rank,alexa_reach_rank,domain,content_length
1,RefugeeCrisis,https://www.youtube.com/watch?v=W2pAJS6ULqU,40.0,9.79,8.3994708994709,1.3888888888888888,73.92,50,Partially Left,nan,nan,nan,nan,youtube.com,1711
2,RefugeeCrisis,http://globalnews.ca/news/6646740/greek-turkey-refugee-centre-fire/,40.0,10.62,6.904761904761905,3.7182539682539684,77.74,50,Partially Left,nan,nan,nan,nan,globalnews.ca,3285
3,RefugeeCrisis,https://time.com/5798139/what-happens-next-with-europes-latest-refugee-crisis/,80.0,11.67,8.894654452690167,2.77405753968254,74.61,50,Partially Left,95.0,64.0,8,1028.0,time.com,7551
4,RefugeeCrisis,https://www.reuters.com/article/us-health-coronavirus-spain-refugees-idUSKBN21M0FO,80.0,20.9,6.944444444444444,13.958333333333334,68.12,50,Partially Left,100.0,87.0,9,544.0,reuters.com,1647
5,RefugeeCrisis,https://www.theatlantic.com/politics/archive/2020/03/syria-turkey-usa-refugee-crisis-trump-biden-sanders/607984/,80.0,11.69,7.312062937062937,4.377289377289377,72.53,50,Partially Left,92.5,79.0,8,1360.0,theatlantic.com,11593
6,RefugeeCrisis,https://www.npr.org/sections/coronavirus-live-updates/2020/04/02/825981261/greece-records-first-coronavirus-cases-among-refugees-imposes-quarantine-on-camp,100.0,6.92,0.4166666666666667,6.50297619047619,79.72,50,Partially Left,100.0,84.0,8,521.0,npr.org,3269
7,RefugeeCrisis,https://www.bbc.co.uk/news/world-europe-51799470,80.0,24.31,8.87194264069264,15.434523809523808,56.32,50,Partially Right,95.0,96.0,9,102.0,bbc.co.uk,2823
8,RefugeeCrisis,https://www.vice.com/en_us/article/qjdnnp/greek-islanders-want-the-refugee-crisis-over-and-the-migrants-gone,80.0,14.42,5.340909090909091,9.083333333333336,74.09,50,Partially Left,100.0,59.0,8,122.0,vice.com,1416
9,RefugeeCrisis,https://www.huffpost.com/entry/im-proud-of-myself-refugee-nurse-on-the-frontlines-of-covid-19_n_5e861ff9c5b6a9491833066e,100.0,16.67,16.666666666666664,0.0,76.67,100,Right,nan,nan,nan,nan,huffpost.com,5024
10,RefugeeCrisis,https://www.cnn.com/2020/03/14/opinions/how-the-us-can-help-ease-idlibs-catastrophe-alrifai/index.html,80.0,10.83,7.207607733175914,3.617424242424242,68.83,50,Partially Left,100.0,87.0,9,nan,cnn.com,5907
11,RefugeeCrisis,https://www.aljazeera.com/indepth/opinion/solve-refugee-camps-solve-refugee-crisis-200316154815780.html,40.0,15.58,10.95986668545439,4.620029408004092,64.46,50,Partially Right,82.5,73.0,8,nan,aljazeera.com,11232
12,RefugeeCrisis,https://www.reuters.com/article/us-health-coronavirus-germany-refugees-idUSKBN21C2IG,40.0,14.16,11.68783422459893,2.4705882352941173,72.29,50,Partially Left,100.0,87.0,9,544.0,reuters.com,2500
